procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 156960  48484   4700 676248    2   17   927    93    0  542  5  4 90  1
 5  0 156956  33428   4700 676256    4    0     4     0    0 4251 16  7 77  0
 3  0 156952  37464   4708 676272    4    0     4   108    0 5951 12  5 83  0
 0  0 156952  37240   4708 676272    0    0     0   156    0 2662  5  3 92  0
 1  0 156952  36820   4708 676272    0    0     0     0    0 3348  6  3 91  0
 0  0 156952  36720   4716 676268    0    0     0   120    0 2289  3  2 94  0
 1  0 156952  36568   4716 676272    0    0     0     0    0 3432  6  3 91  0
 0  0 156952  36692   4716 676272    0    0     0     0    0 3072  5  3 92  0
 1  0 156952  35928   4732 676264    0    0    76   388    0 3839  7  4 89  0
 0  0 156952  35116   4804 676276    0    0     0   448    0 6122 11  6 82  1
 0  0 156952  35256   4804 676360    0    0     0     0    0 3409  7  3 89  0
 0  0 156952  35576   4804 676360    0    0     0     0    0 2713  5  3 92  0
 0  0 156952  35484   4812 676352    0    0     0    60    0 2677  4  2 94  0
 1  0 156952  35512   4812 676360    0    0     0   240    0 3165  5  2 93  0
 0  0 156952  36060   4812 676360    0    0     0     0    0 2305  4  2 94  0
 0  0 156952  35212   4812 676632    0    0   272     0    0 3683  7  3 90  0
 0  0 156948  34920   4820 676620   28    0    28   116    0 5033  9  5 86  0
 1  0 156944  34416   4820 676640    4    0     4     0    0 3057  6  3 91  0
 0  0 156944  35796   4820 676636    0    0     0   188    0 3172  5  3 92  0
 0  0 156944  35804   4828 676640    0    0     0   100    0 3076  3  2 95  1
