procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 158352  52784   6092 666316    2   15   821    84    0  572  6  4 90  1
 0  0 158348  38028   6092 666316    0    0     0     0    0 5236 17  8 76  0
 3  0 158348  37796   6100 666360    0    0     0   100    0 2824  3  1 95  0
 0  0 158348  37824   6100 666364    0    0     0     0    0 3926  6  4 91  0
 2  0 158348  37664   6100 666368    0    0     0     0    0 1854  4  2 94  0
 1  2 158348  37668   6108 666364    0    0     0   260    0 3309  5  1 94  0
 0  0 158348  36952   6116 666276    0    0     0    60    0 4163  6  3 91  0
 4  0 158348  37276   6116 666344    0    0     0     0    0 2178  5  2 93  0
 0  0 158348  37320   6116 666356    0    0     0     0    0 2848  4  2 94  0
 0  0 158348  37412   6116 666316    0    0     0     0    0 3663  6  3 91  0
 5  0 158348  37264   6116 666320    0    0     0   228    0 2965  6  3 91  0
 1  0 158348  37520   6124 666376    0    0     0    40    0 2709  4  2 94  0
 0  0 158348  37280   6124 666388    0    0     0     0    0 4487  7  3 90  0
 5  0 158348  37368   6124 666384    0    0     0     0    0 2133  4  2 94  0
 0  0 158348  37492   6124 666388    0    0     0     0    0 3208  4  2 94  0
