procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 158348  52356   6140 666284    2   15   813    83    0  571  6  4 90  1
 4  0 158348  38052   6140 666284    0    0     0     0    0 4380 15  7 78  0
 2  0 158348  37700   6148 666284    0    0     0   284    0 12752 22 8 70  0
 4  0 158348  37748   6148 666408    0    0   104     0    0 8881 16  7 77  0
 0  0 158348  38044   6148 666408    0    0     0     0    0 12238 21 8 71  0
 1  0 158348  38260   6148 666408    0    0     0     0    0 7373 15  5 80  0
 0  0 158348  36568   6148 666420    0    0     0     0    0 11712 23 8 70  0
 1  0 158348  37104   6172 666400    0    0     0   296    0 8783 19  8 73  0
 4  0 158348  37144   6172 666420    0    0     0     0    0 13438 25 9 66  0
 0  0 158348  37440   6172 666420    0    0     0     0    0 8844 18  7 75  0
 4  0 158348  37624   6172 666424    0    0     0     0    0 12309 21 9 70  0
 0  0 158348  37156   6172 666432    0    0     0     0    0 9550 18  7 75  0
