procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 158348  51152   6188 666400    2   15   808    83    0  578  6  4 90  1
 6  0 158348  39140   6196 666392    0    0     0    68    0 6674 16  8 75  0
 1  0 158348  39072   6196 666420    0    0     0   112    0 12213 22 8 69  0
 1  0 158348  39260   6196 666424    0    0     0     0    0 8895 15  6 79  0
 3  0 158348  38684   6196 666424    0    0     0     0    0 11686 23 7 70  0
 3  0 158348  38036   6196 666424    0    0     0     0    0 8210 16  6 77  0
 3  0 158348  36476   6196 666428    0    0     0     0    0 13114 23 8 68  0
 1  0 158348  35924   6204 666420    0    0     0   224    0 8221 16  6 78  0
 3  0 158348  36236   6204 666428    0    0     0     0    0 12237 22 8 70  0
 1  0 158348  36408   6204 666432    0    0     0     0    0 10029 20 7 73  0
 1  0 158348  37176   6204 666432    0    0     0     0    0 12249 22 8 70  0
 1  0 158348  37088   6204 666432    0    0     0     0    0 7688 14  6 80  0
