procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 158348  50788   6220 666400    2   15   802    83    0  584  6  4 90  1
 3  0 158348  36164   6228 666388    0    0     0   216    0 4347 14  7 79  0
 0  0 158348  36296   6236 666432    0    0     0    72    0 4878  6  2 91  0
 2  0 158348  35160   6244 666432    0    0     0    96    0 4180  8  4 88  0
 0  0 158348  35252   6244 666468    0    0     0     0    0 2836  3  1 96  0
 0  0 158348  34088   6252 666472    0    0     0    80    0 5647 10  4 86  0
 2  0 158348  33924   6252 666440    0    0     0   260    0 1797  5  2 93  0
 2  0 158348  32896   6260 666532    0    0    40   116    0 5513  6  4 90  0
 0  0 158348  32612   6268 666528    0    0     0    88    0 5348  9  4 87  0
 0  0 158348  32592   6268 666500    0    0     0     0    0  429  1  1 99  0
 0  0 158420  35120   6276 663364    0   72     0   168    0 7111 11  5 84  0
 4  0 158420  34508   6308 663200    0    0     0   612    0 4113  7  4 89  1
 0  0 158420  34240   6308 663180    0    0     0     0    0 2390  4  2 94  0
 2  0 158420  33340   6316 663252    0    0     0    88    0 5761  8  4 88  0
 1  0 158420  32440   6324 663284    0    0     0    68    0 1847  4  1 95  0
 2  0 158420  32524   6324 663260    0    0     0     0    0 4442  8  3 89  0
 1  0 158452  35080   6332 659936    0   36     0   416    0 4285  8  3 89  0
