procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1003484 151808 87400 1179428   0    0   282    53    0  680  7  6 87  0
 3  0 1003984 96844  87416 1176288   0    0    12   256    0 13524 17 15 67 0
 0  0 1004108 147956 87216 1174392   0    0     0     0    0 4144  5  6 89  0
13  0 1004104 146520 87224 1174392   0    0     0   424    0 3156  8  7 85  0
 0  0 1004104 148280 87224 1174392   0    0     0     0    0 3664  9  7 83  0
 6  0 1004104 147508 87224 1174392   0    0     0     0    0 2857  9  6 85  0
 2  0 1004100 145976 87224 1174392   0    0     0     0    0 3999 10  8 82  0
 6  0 1004100 146712 87224 1174392   0    0     0     0    0 5088  9  7 85  0
12  0 1004084 161844 87232 1174396   0    0     0   272    0 3988 13  8 79  0
16  0 1004080 160832 87232 1174400   0    0     0     0    0 2959  9  5 86  0
 6  0 1004080 162436 87232 1174400   0    0     0     0    0 3892 10  7 83  0
 0  0 1004072 161540 87248 1174384   0    0     0   260    0 3214  7  6 87  0
 0  0 1004060 161816 87248 1174400   0    0     0     0    0 2856  7  7 86  0
11  0 1004060 161444 87248 1174400   0    0     0   128    0 2882  8  6 86  0
 0  0 1004060 159320 87248 1174400   0    0     0     0    0 5929 10  8 82  0
 0  0 1004040 158824 87248 1174400   0    0     0     0    0 2917  8  6 86  0
 0  0 1004040 157708 87264 1174400   0    0     0   108    0 3829  9  7 84  0
 0  0 1004036 156704 87264 1174400   0    0     0     0    0 2783  6  5 88  0
