procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1007948 151192 86440 1176600   0    0   283    53    0  679  7  6 87  0
 2  0 1007940 96456  86448 1176696   0    0     0   168    0 11564 17 14 69 0
 4  0 1007940 96084  86448 1176704   0    0     0   160    0 1696  4  4 93  0
 0  0 1007940 96224  86448 1176704   0    0     0     0    0 4155  9  8 83  0
 5  0 1007940 96472  86448 1176704   0    0     0     0    0 4085  8  8 84  0
10  0 1007940 120476 86448 1176708   0    0     0     0    0 1873  4  3 93  0
 0  0 1007940 112584 86472 1176524   0    0     0   328    0 4228 15  8 77  0
 1  0 1007940 112524 86472 1176528   0    0     0   216    0 4602  9  8 84  0
 6  0 1007940 112292 86472 1176528   0    0     0     0    0 1594  2  2 95  0
 1  0 1007940 112140 86472 1176496   0    0     0     0    0 5087 10  9 81  0
 0  0 1007940 112108 86472 1176512   0    0     0     0    0 4206  9  7 84  0
 7  0 1007936 115240 86480 1176236   0    0     0    76    0 2000  4  3 93  0
 4  0 1007936 114604 86480 1176240   0    0     0   252    0 4547 10  8 82  0
 1  0 1007928 113236 86508 1176256   0    0     4   296    0 5086 11  8 81  0
 3  0 1007924 112996 86508 1176280   0    0     0     0    0 2489  4  5 91  0
