procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 993972 142948  83000 1212904   0    0   286    54    0  678  7  6 87  0
 2  0 994000 104732  83008 1212964   0    0     0   196    0 11017 15 15 70 0
 0  0 994000 103976  83008 1212916   0    0     0     0    0 12282 17 15 68 0
 3  0 994020 106720  83008 1212864   0    0     0   216    0 12074 17 16 67 0
 2  0 994008 106528  83008 1212876   0    0     0     0    0 11603 16 15 69 0
 2  0 993996 105580  83008 1212872   0    0     0     0    0 8655 15 13 71  0
 2  0 993964 104528  83008 1212868   0    0     0     0    0 12066 17 15 67 0
 6  0 993936 103384  83016 1212872   0    0     0    68    0 8948 14 14 72  0
 3  0 993932 102172  83024 1212876   0    0     0   200    0 11461 17 15 68 0
 8  0 993932 102188  83024 1212876   0    0     0     0    0 7135 12 11 78  0
 1  0 993920 100944  83024 1212896   0    0    20     0    0 12154 18 15 67 0
 3  0 995252 105224  83024 1211600   0    0     0     0    0 7624 12 12 77  0
