procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0 1071856 179984 85832 1137540   0    0   277    53    0  683  7  6 87  0
 6  0 1071848 140476 85840 1137508   0    0     0   156    0 12851 17 15 68 0
 3  0 1071848 141284 85840 1137600   0    0     0     0    0 11166 17 14 69 0
 5  0 1071848 141376 85840 1137600   0    0     0   172    0 9191 14 13 72  0
 5  0 1071832 139640 85840 1137604   0    0     0     0    0 11950 18 16 67 0
 6  0 1071828 139888 85840 1137604   0    0     0     0    0 8416 14 12 73  0
 0  0 1071816 139372 85848 1137604   0    0     0    68    0 12026 17 15 67 0
 7  0 1071820 164216 85856 1137540   0    0     0    56    0 5812 17 10 73  0
 5  0 1071820 163540 85856 1137548   0    0     0   124    0 11757 16 18 66 0
 6  0 1071820 162352 85856 1137548   0    0     0     0    0 9710 15 13 71  0
 1  0 1071812 162176 85856 1137552   0    0     0     0    0 7886  9 11 79  0
 1  0 1071808 161548 85856 1137552   0    0     0     0    0 2792  4  4 92  0
