procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 997368 339244  81456 1121696   0    0   252    50    0  693  7  6 87  0
 2  0 997320 312044  81492 1121640   0    0     0   776    0 10240 18 15 67 0
 0  0 997320 311464  81492 1121752   0    0     0     0    0 3583  8  6 86  0
 0  0 997316 309408  81500 1121780   0    0     0   152    0 4837 14  9 78  0
 0  0 997316 309256  81500 1121744   0    0     0   412    0 2077  4  4 93  0
 0  0 997316 310660  81516 1121752   0    0     0   240    0 5861 16 11 73  0
 7  0 997316 310164  81516 1121808   0    0     0     0    0 2725  9  5 86  0
 0  0 997316 309884  81524 1121840   0    0     0   108    0 4889  9  9 82  0
 0  0 997136 307572  81552 1121696   0    0     0   404    0 6436 15 13 73  0
 0  0 997136 307552  81552 1121784   0    0     0   324    0  937  2  2 96  0
 1  0 997132 306188  81560 1121832   0    0     0   156    0 5852 15 10 75  0
 3  0 997128 304756  81580 1121916   0    0     0   404    0 3431  9  7 83  0
 1  0 997128 303988  81580 1121796   0    0     0     0    0 4535  7  7 85  0
 5  1 996676 299976  81660 1121912   0    0   176   480    0 6423 15 12 73  0
 1  0 996676 299536  81716 1121940   0    0     0   852    0 3198  6  6 88  0
 2  0 996672 298448  81724 1121968   0    0     0   176    0 5495 13 10 77  0
 1  0 996672 298244  81724 1122008   0    0     0     0    0 1946  6  5 89  0
