procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1020144 345756 148580 1090432  0    0   309    56    0  696  7  6 87  0
 5  0 1020132 266300 148608 1090320  0    0   104  1136    0 15903 18 16 66 1
 0  0 1020128 265840 148608 1090312  0    0     0     0    0 3887  6  5 89  0
 2  0 1020128 265408 148608 1090312  0    0     0     0    0 2382  5  4 90  0
 6  0 1020128 267152 148608 1090312  0    0     0     0    0 2609  7  5 89  0
 1  0 1020128 266796 148608 1090312  0    0     0   116    0 3208  7  5 88  0
 0  0 1020128 266912 148664 1090256  0    0     0  1308    0 3831  6  7 87  1
 3  0 1020124 266204 148664 1090312  0    0     0     0    0 4265  8  7 85  0
 0  0 1020124 265908 148664 1090312  0    0     0     0    0 2869  5  5 90  0
 0  0 1020124 265752 148664 1090312  0    0     0     0    0 2215  5  4 91  0
 0  0 1020124 267104 148664 1090316  0    0     0     0    0 7919 15 10 75  0
 1  0 1020124 267028 148720 1090316  0    0     0  1108    1 3887 10 11 77  1
 0  0 1020124 266820 148720 1090316  0    0     0   100    0 2779  8  9 83  0
 0  0 1020124 266516 148720 1090316  0    0     0     0    0 2745  8  8 84  0
 5  0 1020124 268096 148720 1090316  0    0     0     0    0 3353  9  6 84  0
 0  0 1020124 267788 148720 1090320  0    0     0     0    0 3416  8  6 86  0
 1  0 1020124 267676 148720 1090320  0    0     0  1200    0 3236  5  6 88  1
 0  0 1020124 267084 148720 1090320  0    0     0     0    0 3371  7  5 88  0
