procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 8  0 1093824 257112 134356 1068612  0    0   336    55    0  679  7  6 87  0
 3  0 1093816 245308 134356 1068508  0    0     0  1076    0 23610 18 16 65 0
 1  0 1093812 244908 134356 1068592  0    0     0     0    0 3958  4  5 91  0
 1  0 1093812 244860 134356 1068592  0    0     0     0    0 7236 10  8 83  0
 1  0 1093812 244784 134356 1068592  0    0     0     0    0 13013 10 7 83  0
 0  0 1093812 244580 134356 1068596  0    0     0     0    0 4450  4  4 91  0
 1  0 1093812 244536 134364 1068588  0    0     0  1520    0 6998 11  9 79  1
 0  0 1093812 247560 134364 1068596  0    0     0    96    0 11199 16 11 73 0
 7  0 1093812 246784 134364 1068596  0    0     0     0    0 4882  4  4 92  0
 0  0 1093812 246800 134364 1068596  0    0     0     0    0 6611 11  8 81  0
 2  0 1093812 246336 134372 1068596  0    0     0    28    0 9849 11  8 82  0
 0  0 1093812 245948 134372 1068596  0    0     0   212    0 6843  6  5 89  0
 0  0 1093812 245600 134400 1068596  0    0     0  1140    0 8659 10  9 80  1
 4  0 1093812 245368 134400 1068596  0    0     0     0    0 11953 10 8 83  0
 1  0 1093812 245352 134400 1068596  0    0     0     0    0 6559  6  4 90  0
