procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0 1094920 312984 144388 1072748  0    0   315    55    0  692  7  6 87  0
 2  0 1094900 271344 144488 1072784  0    0     0  1052    0 14216 16 15 69 1
 5  0 1094900 271344 144488 1072784  0    0     0     0    0 9583 10  8 82  0
 0  0 1094892 261704 144488 1072784  0    0     0     0    0 7794 16  8 76  0
 6  0 1094888 263696 144488 1072784  0    0     0     0    0 12540 13 10 77 0
 6  0 1094888 263500 144488 1072784  0    0     0     0    0 5009  7  6 87  0
 2  0 1094888 263468 144780 1072732  0    0     0  4028    0 16800 14 14 70 2
 5  0 1094888 263436 144788 1072784  0    0     0   880    0 2648  5  3 91  1
 2  0 1094888 263288 144788 1072784  0    0     0     0    0 14190 15 13 71 0
 0  0 1094888 263212 144788 1072784  0    0     0     0    0 2389  4  4 92  0
 7  0 1094888 265060 144792 1072784  0    0     0    96    0 15351 17 12 71 0
 1  1 1094888 265000 144940 1072696  0    0     0  1476    0 6564  8  7 84  1
