procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1115440 347544 127388 1019128  0    0   341    54    0  677  7  6 87  0
 6  0 1115440 306844 127460 1019252  0    0     0   972    0 15329 17 12 70 1
 1  0 1115440 306556 127460 1019168  0    0     0   120    0 8985  9  8 83  0
 2  0 1115440 305656 127468 1019168  0    0     0    56    0 8017 12  8 80  0
 2  0 1115440 305580 127468 1019168  0    0     0     0    0 7440  8  6 86  0
 2  0 1115440 305608 127468 1019168  0    0     0     0    0 3894  7  5 88  0
 2  1 1115432 305052 127528 1019140  0    0     0  2572    1 16911 15 15 69 1
 3  0 1115432 304604 127672 1019168  0    0     0  1592    0 4227  6  5 88  1
 1  0 1115432 304388 127672 1019168  0    0     0     0    0 14733 14 14 72 0
 0  0 1115428 304264 127672 1019168  0    0     0     0    0 3981  5  5 90  0
 0  0 1115424 303768 127672 1019168  0    0     0     0    0 12851 15 11 74 0
 0  0 1115424 303768 127672 1019168  0    0     0     0    0 2663  4  4 93  0
