procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1232752 265920 105532 1037844  0    0   355    54    0  668  7  6 87  0
10  0 1232408 222820 105672 1038332  0    0     0  1852    1 12633 18 13 69 0
 0  0 1232444 226832 105672 1038240  0    0     0    88    0 5259  8  7 85  0
 4  0 1232468 235112 105684 1036944  0    0     0   568    0 8465 13 11 75  0
 8  0 1232444 223372 105700 1036940  0    0     0   168    0 4621 16  7 77  0
 1  0 1232472 211516 105708 1036804  0    0     0   544    0 9906 11 11 78  0
 2  1 1232472 211192 105860 1036804  0    0     0   760    0 5576 11  6 83  0
 0  0 1232472 208280 105976 1037012  0    0     0  1180    0 5442  7  7 86  0
 7  0 1232468 206700 105996 1037476  0    0     0   552    0 11592 17 13 70 0
 7  0 1232468 207852 105996 1037360  0    0     0     0    0 2619  5  4 90  0
 0  0 1232648 209088 106020 1033184  0    0     0  1136    0 9196 14 12 74  0
 2  1 1232648 208576 106140 1031956  0    0     0  1000    0 5875 12  8 80  0
 0  0 1232652 209432 106316 1031852  0    0     0   816    0 6993  9  9 82  1
 1  0 1232700 208352 106324 1031576  0    0     0   552    0 7707 13 11 76  0
 5  0 1232700 208780 106324 1031576  0    0     0     0    0 2709  4  4 92  0
 0  0 1232692 207336 106352 1031780  0    0     0   604    0 10800 15 12 73 0
 4  0 1232672 219276 106500 1031540  0    0     0   768    0 7605 13  8 79  0
